feature,female,male
age,0.23004016,0.2707913
sex,0.6941412,0.1908933
cp,0.59062153,0.5814534
trestbps,0.0,0.0
chol,0.18648806,0.17274384
fbs,0.0,0.0
restecg,0.0,0.0
thalch,0.1602023,0.17632632
exang,0.26820585,0.3312298
oldpeak,0.28835762,0.3042421
